date,actual,point_forecast,brier,logloss,baseline_brier,baseline_logloss
2020-01-31,44,40.08046456734511,0.10067006174521005,0.3767662843837793,0.10090702947845805,0.37934397609633547
2020-02-01,43,40.1645731762977,0.09892165349378575,0.36374237383521946,0.09867120181405896,0.3637820974350549
2020-02-02,45,40.25770531577566,0.10028327345526174,0.3750256251978775,0.09938208616780045,0.3710288206435454
2020-02-03,57,40.3598423796616,0.071574074897471,0.24117296649928868,0.07279251700680273,0.24697981800713215
2020-02-04,61,40.651085898256696,0.07617438250762502,0.2552020116121126,0.07599026500811248,0.2562696580577887
2020-02-05,55,40.768788064858185,0.07604581475272601,0.2551077584423186,0.07443776115104787,0.2513530561852999
2020-02-06,41,40.895283304973105,0.0976278472983691,0.35486733730735365,0.09687636474801294,0.35215991503433813
2020-02-07,56,41.03052691341769,0.0743206322708786,0.24965442654878278,0.0724843552040542,0.24491104549459514
2020-02-08,41,41.174466571719215,0.09763155375266232,0.3549868175987211,0.09853754766470496,0.3650826306802034
2020-02-09,44,41.327042357251756,0.09863194241493967,0.36282101269463973,0.09781591695501729,0.358040445116034
2020-02-10,47,41.48818676764913,0.10196557382578945,0.390351892646251,0.1049127803488786,0.42483700248466283
2020-02-11,48,41.65782476051709,0.10317780986341811,0.39847028187576317,0.10496453900709221,0.4189974809377504
2020-02-12,46,41.83587380842756,0.10087876749109725,0.37933855806758193,0.10212034770108487,0.38849517290975155
2020-02-13,44,42.02224396913901,0.09892895678122879,0.3642481050328017,0.09659277480944024,0.34751881825666203
2020-02-14,40,42.216837970948134,0.09683991023037056,0.34991270789556556,0.09389455782312926,0.33240709075893493
2020-02-15,31,42.41955131303934,0.07206712090620357,0.24310065867921254,0.07304421768707484,0.24597429814783472
2020-02-16,44,42.63027238065973,0.09787954123359645,0.356137176425933,0.09621088435374149,0.3442840597244489
2020-02-17,51,42.8488825749099,0.07184140839904819,0.2418587701808821,0.07477664399092972,0.2507241336886161
2020-02-18,47,43.07525645690263,0.10025843364607434,0.3749148102523804,0.10275736961451247,0.3926542180905356
2020-02-19,48,43.30926190600475,0.09985170390243063,0.37221294089336565,0.10136961451247166,0.3835108101367132
2020-02-20,35,43.55076029184128,0.06873975106989508,0.23272586537722298,0.06603514739229024,0.22309631992513154
2020-02-21,35,43.799606659705105,0.07033389728888892,0.23757948313261096,0.06661791383219955,0.224468149695704
2020-02-22,50,44.05564992898083,0.1015464992838127,0.38712845362663145,0.10733219954648525,0.44470666082162136
2020-02-23,56,44.31873310415764,0.06858151506320545,0.2326667260457862,0.07084807256235828,0.23770852433648595
2020-02-24,62,44.588693497973615,0.07271091311789121,0.24457922173732127,0.07327437641723358,0.24383430368690845
2020-02-25,53,44.865362966201566,0.07141921828426386,0.2405770732191745,0.07109977324263038,0.23681707125324766
2020-02-26,48,45.14856815355703,0.09879898817812789,0.36337004492625347,0.10345124716553286,0.393117797229798
2020-02-27,43,45.43813075017939,0.0968770566818639,0.3500871672829026,0.09663832199546485,0.3418876072638635
2020-02-28,42,45.733867758109376,0.09699761332830961,0.34963900182151975,0.09473469387755104,0.32821675031968345
2020-02-29,35,46.03559176716051,0.06915247291167076,0.23372587778119466,0.07123469387755102,0.23690785666850428
2020-03-01,44,46.343111239556436,0.09704308468815946,0.35070429064910635,0.0942845804988662,0.3256411138754992
2020-03-02,58,46.656230802684014,0.07440863648690554,0.24915444855269678,0.06753854875283447,0.2271026050878046
2020-03-03,59,46.97475154928931,0.0730062498357295,0.24512277624786266,0.06617006802721088,0.22319386269943972
2020-03-04,56,47.2984713444252,0.07163754929228706,0.24124258379746583,0.0647437641723356,0.21933609664226159
2020-03-05,51,47.757246631338006,0.09961583749644536,0.36803800464215725,0.10563980530016226,0.41069123583752243
2020-03-06,45,48.088919644389705,0.09678572816978155,0.3489678341613691,0.09437353633157829,0.32552371664908597
2020-03-07,48,48.42509660338447,0.09747056585748741,0.35468165481659847,0.1019805223163595,0.3746752470873883
2020-03-08,59,48.765569471323,0.07448571006684644,0.250197689925299,0.06775992848093282,0.2259286546574241
2020-03-09,72,49.110128718053055,0.07313696655250576,0.2465627400858572,0.0672805219422954,0.22536326982649682
2020-03-10,65,49.4585636430128,0.07135640273262857,0.24129610957574493,0.06675377162629757,0.2247612508544469
2020-03-11,57,49.81066269922638,0.10257833054513303,0.3970926655900879,0.10106688323246708,0.37667951744722655
2020-03-12,50,50.166213817792304,0.0971462120677214,0.35349488459020817,0.10018275405328372,0.37227485476664535
2020-03-13,70,50.52500473210331,0.07654456923363746,0.25709054062334336,0.07484557849104917,0.2500381568180908
2020-03-14,57,50.88682330103617,0.10250711665999437,0.3972279885112825,0.10181729960900696,0.388059846724762
2020-03-15,54,51.25145783035207,0.09882058054517204,0.3654814865724223,0.10064852607709751,0.37916708065034355
2020-03-16,45,51.618697391551734,0.09766647829492536,0.35319521272420185,0.09338888888888888,0.32500276983159315
2020-03-17,54,51.98833213743564,0.0997390997983137,0.36981979262256004,0.10379591836734695,0.4070968727075891
2020-03-18,54,52.36015361362678,0.09936854745837378,0.3678699677954361,0.10291723356009068,0.4017014103150438
2020-03-19,52,52.733955065323904,0.09741873516547819,0.35145694417692136,0.09788321995464853,0.3539281104284756
2020-03-20,77,53.10953173856409,0.07453725531645075,0.25021213225674854,0.07572108843537415,0.2538066848424927
2020-03-21,65,53.48668117528712,0.07264944212001989,0.2449275065683633,0.07556575963718822,0.2536988582865881
2020-03-22,45,53.86520350150953,0.06665989667553483,0.2266007594116759,0.06297052154195011,0.21437908192830535
2020-03-23,41,54.2449017079328,0.06960897172057151,0.23561069784138264,0.0655668934240363,0.22181156279779396
2020-03-24,55,54.62558192232959,0.0982176229117865,0.35822521300885823,0.10231292517006803,0.3803695605837042
2020-03-25,45,55.00705367307181,0.06966901854516284,0.23569087111694045,0.060258503401360554,0.206299177283959
2020-03-26,60,55.38913014318671,0.10052268184795385,0.37779431391205226,0.10472222222222223,0.40298824280661083
2020-03-27,69,55.771628414351056,0.07255848039442944,0.24378240009707933,0.08153401360544217,0.2683013240890042
2020-03-28,54,56.15436970025836,0.09697926547839028,0.35050090902936504,0.10001360544217688,0.3615894890147258
2020-03-29,47,56.53717956882116,0.06761003341563339,0.22894123300214084,0.057229024943310655,0.19917226342860025
2020-03-30,52,56.91988815269845,0.0966145882534219,0.3481853922314151,0.09825623582766442,0.354249531867443
2020-03-31,49,57.30233034766757,0.0977948679356395,0.357415766331283,0.09417233560090703,0.33262960005540326
2020-04-01,56,57.68434599839087,0.0971600756410565,0.35103664964520337,0.1014580498866213,0.3761152177680701
2020-04-02,58,58.065780071159175,0.0981301289185761,0.35873543584216655,0.09942970521541951,0.3643492861098267
2020-04-03,52,58.44648281322703,0.0962752750748202,0.34676367830596033,0.0973968253968254,0.3506902793105583
2020-04-04,62,58.891266349856295,0.09990982294178027,0.37188713509346444,0.10276149269875609,0.3867908104299216
2020-04-05,65,59.26822077933612,0.1029513951218213,0.40097070469982893,0.10451040800691151,0.4096935266316758
2020-04-06,66,59.6440090612433,0.10396149644866762,0.4070833250338935,0.10289217398899467,0.39046536471508814
2020-04-07,68,60.018507634963186,0.07416585590374687,0.24915198089149387,0.0732829116596921,0.24435835544055734
2020-04-08,64,60.391598817776575,0.10100506117650723,0.38383317377584997,0.10177213515836805,0.3776465994623743
2020-04-09,59,60.76317086877535,0.09690851779087417,0.3501566454977138,0.10379404844290659,0.3945577694027415
2020-04-10,49,61.13311803768261,0.07151579531713763,0.24173101349004664,0.06620683517265931,0.22319252324197797
2020-04-11,56,61.50134059850638,0.09594947556147836,0.3436718623329911,0.09965405272482382,0.36196413681544004
2020-04-12,63,61.86774486799484,0.09783998045983189,0.3577000435762333,0.09794254396801508,0.34869432912276616
2020-04-13,67,62.23224320889998,0.10045248644490179,0.3796631647700635,0.10340835359764389,0.38916934335565107
2020-04-14,60,62.59475401809435,0.09571527262980356,0.34337537203067764,0.10579931972789117,0.40369865420391327
2020-04-15,54,62.955201699625036,0.07233703041492875,0.2445017041078587,0.06810090702947845,0.22649968594447162
2020-04-16,50,63.31351662282641,0.07561891041815227,0.25533604898388307,0.0720612244897959,0.23858028966521322
2020-04-17,51,63.66963506565204,0.07109494391964317,0.2405867409245209,0.07139002267573695,0.23920095871985944
2020-04-18,46,64.02349914342271,0.07413396891002592,0.2503981878376038,0.0738390022675737,0.24770295785324975
2020-04-19,63,64.3750567232256,0.09575529439587878,0.34530405757470806,0.09559637188208617,0.3411937228770453
2020-04-20,57,64.72426132423533,0.09742663436982255,0.3554619156741879,0.09851927437641725,0.3604799176686339
2020-04-21,61,65.07107200426361,0.09596355384179799,0.3456163457439984,0.09828344671201814,0.3603237995878614
2020-04-22,51,65.41545323287936,0.07583650114222508,0.25573011111650884,0.07545691609977326,0.25363601894777094
2020-04-23,52,65.75737475147473,0.07177085569164857,0.2426907955148918,0.06960884353741496,0.23473035999158523
2020-04-24,49,66.09681142068621,0.0735640490087524,0.24843562220517157,0.0717766439909297,0.2416866094139015
